directory,filename,units,unit_types
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\11092017_bigsq,44092017_CSubRet1_bigsq_d4_1.set,['TT3_U3'],['Spatial']
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\04092017,04092017_CSubRet1_smallsq_d2_1.set,"['TT3_U1', 'TT3_U5', 'TT6_U5', 'TT6_U6']","['Spatial', 'Spatial', 'Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\07092017,07092017_CSubRet1_smallsq_d3_1.set,"['TT3_U4', 'TT3_U5', 'TT6_U5', 'TT8_U1', 'TT8_U3']","['Spatial', 'Spatial', 'Spatial', 'Non-Spatial', 'Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\11092017,11092017_CSubRet1_smallsq_d4_1.set,"['TT3_U2', 'TT3_U4', 'TT3_U6', 'TT8_U1', 'TT8_U10']","['Spatial', 'Spatial', 'Spatial', 'Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\13092017,13092017_CSubRet1_bigsq_d5_1.set,"['TT3_U3', 'TT5_U2', 'TT8_U1']","['Spatial', 'Spatial', 'Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\13092017,13092017_CSubRet1_smallsq_d5_1.set,"['TT3_U2', 'TT3_U5', 'TT3_U6', 'TT3_U7', 'TT5_U1', 'TT6_U5', 'TT6_U6', 'TT8_U1', 'TT8_U4']","['Spatial', 'Spatial', 'Non-Spatial', 'Spatial', 'Spatial', 'Spatial', 'Spatial', 'Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\16082017,16082017_CSubRet1_smallsq_1.set,"['TT2_U1', 'TT2_U2', 'TT2_U3', 'TT3_U5', 'TT3_U8', 'TT3_U9', 'TT3_U10']","['Non-Spatial', 'Non-Spatial', 'Spatial', 'Non-Spatial', 'Spatial', 'Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\small sq_habituation\24082017,24082017_CSubRet1_smallsq_d5_1.set,"['TT3_U2', 'TT3_U3', 'TT3_U4', 'TT3_U5', 'TT6_U1', 'TT6_U2']","['Non-Spatial', 'Spatial', 'Spatial', 'Non-Spatial', 'Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\big sq\26092017,26092017_CSubRet1_bigsq_d6_1.set,"['TT2_U1', 'TT3_U1', 'TT3_U3', 'TT3_U4', 'TT3_U6', 'TT3_U7', 'TT6_U4', 'TT6_U5', 'TT6_U6', 'TT6_U7', 'TT8_U1', 'TT8_U3', 'TT8_U10']","['Non-Spatial', 'Non-Spatial', 'Non-Spatial', 'Non-Spatial', 'Spatial', 'Spatial', 'Non-Spatial', 'Non-Spatial', 'Non-Spatial', 'Spatial', 'Spatial', 'Non-Spatial', 'Non-Spatial']"
D:\SubRet_recordings_imaging\CSubRet1\CSubRet1_recording\CSR1_small sq\31082017,31082017_CSubRet1_smallsq_d1_1.set,"['TT3_U6', 'TT6_U4', 'TT6_U5', 'TT6_U6', 'TT8_U1', 'TT8_U2']","['Spatial', 'Spatial', 'Spatial', 'Spatial', 'Spatial', 'Non-Spatial']"
