Rat,Date,State,SesNo,TrialNo,Start order,start position,forced turn,choice turn,pass/fail,p/f
CSubRet1,4092017,C,1,1,4,3,L,R, Y,1
CSubRet1,4092017,C,1,2,4,2,R,L, Y,1
CSubRet1,4092017,C,1,3,4,2,R,R,N,0
CSubRet1,4092017,C,1,4,4,1,L,R, Y,1
CSubRet1,4092017,C,1,5,4,4,L,R, Y,1
CSubRet1,4092017,C,1,6,4,4,R,L, Y,1
CSubRet1,4092017,C,1,7,4,2,L,L,N,0
CSubRet1,4092017,C,1,8,4,3,R,R,N,0
CSubRet1,5092017,C,2,1,1,3,R,L, Y,1
CSubRet1,5092017,C,2,2,1,3,L,R, Y,1
CSubRet1,5092017,C,2,3,1,4,R,L, Y,1
CSubRet1,5092017,C,2,4,1,2,L,R, Y,1
CSubRet1,5092017,C,2,5,1,3,L,R, Y,1
CSubRet1,5092017,C,2,6,1,1,R,L, Y,1
CSubRet1,5092017,C,2,7,1,1,R,R,N,0
CSubRet1,5092017,C,2,8,1,3,L,L,N,0
CSubRet1,6092017,C,3,1,6,4,L,R, Y,1
CSubRet1,6092017,C,3,2,6,3,R,R,N,0
CSubRet1,6092017,C,3,3,6,1,R,L, Y,1
CSubRet1,6092017,C,3,4,6,4,L,L,N,0
CSubRet1,6092017,C,3,5,6,3,R,L, Y,1
CSubRet1,6092017,C,3,6,6,2,L,R, Y,1
CSubRet1,6092017,C,3,7,6,4,R,L, Y,1
CSubRet1,6092017,C,3,8,6,3,L,R, Y,1
CSubRet1,11092017,C,5,1,2,2,R,L, Y,1
CSubRet1,11092017,C,5,2,2,1,L,R, Y,1
CSubRet1,11092017,C,5,3,2,3,L,R, Y,1
CSubRet1,11092017,C,5,4,2,1,R,R,N,0
CSubRet1,11092017,C,5,5,2,1,L,L,N,0
CSubRet1,11092017,C,5,6,2,4,R,R,N,0
CSubRet1,11092017,C,5,7,2,4,L,R, Y,1
CSubRet1,11092017,C,5,8,2,4,R,R,N,0
CSubRet1,12092017,C,6,1,5,2,R,L, Y,1
CSubRet1,12092017,C,6,2,5,1,L,R, Y,1
CSubRet1,12092017,C,6,3,5,1,R,R,N,0
CSubRet1,12092017,C,6,4,5,3,L,R, Y,1
CSubRet1,12092017,C,6,5,5,1,R,L, Y,1
CSubRet1,12092017,C,6,6,5,2,R,L, Y,1
CSubRet1,12092017,C,6,7,5,2,L,L,N,0
CSubRet1,12092017,C,6,8,5,1,L,R, Y,1
CSubRet1,13092017,C,7,1,4,3,L,R, Y,1
CSubRet1,13092017,C,7,2,4,2,R,R,N,0
CSubRet1,13092017,C,7,3,4,2,R,L, Y,1
CSubRet1,13092017,C,7,4,4,1,L,R, Y,1
CSubRet1,13092017,C,7,5,4,4,L,R, Y,1
CSubRet1,13092017,C,7,6,4,4,R,L, Y,1
CSubRet1,13092017,C,7,7,4,2,L,R, Y,1
CSubRet1,13092017,C,7,8,4,3,R,L, Y,1
CSubRet1,14092017,C,8,1,1,3,R,L, Y,1
CSubRet1,14092017,C,8,2,1,3,L,R, Y,1
CSubRet1,14092017,C,8,3,1,4,R,L, Y,1
CSubRet1,14092017,C,8,4,1,2,L,R, Y,1
CSubRet1,14092017,C,8,5,1,3,L,L,N,0
CSubRet1,14092017,C,8,6,1,1,R,L, Y,1
CSubRet1,14092017,C,8,7,1,1,R,R,N,0
CSubRet1,14092017,C,8,8,1,3,L,R, Y,1
CSubRet1,15092017,C,9,1,6,4,L,R, Y,1
CSubRet1,15092017,C,9,2,6,3,R,L, Y,1
CSubRet1,15092017,C,9,3,6,1,R,R,N,0
CSubRet1,15092017,C,9,4,6,4,L,R, Y,1
CSubRet1,15092017,C,9,5,6,3,R,L, Y,1
CSubRet1,15092017,C,9,6,6,2,L,R, Y,1
CSubRet1,15092017,C,9,7,6,4,R,L, Y,1
CSubRet1,15092017,C,9,8,6,3,L,R, Y,1
LSubRet1,4092017,L,1,1,3,3,L,L,N,0
LSubRet1,4092017,L,1,2,3,2,R,L, Y,1
LSubRet1,4092017,L,1,3,3,2,R,L, Y,1
LSubRet1,4092017,L,1,4,3,1,L,L,N,0
LSubRet1,4092017,L,1,5,3,4,L,L,N,0
LSubRet1,4092017,L,1,6,3,4,R,L, Y,1
LSubRet1,4092017,L,1,7,3,2,L,R, Y,1
LSubRet1,4092017,L,1,8,3,3,R,R,N,0
LSubRet1,5092017,L,2,1,2,3,R,L, Y,1
LSubRet1,5092017,L,2,2,2,3,L,L,N,0
LSubRet1,5092017,L,2,3,2,4,R,L, Y,1
LSubRet1,5092017,L,2,4,2,2,L,L,N,0
LSubRet1,5092017,L,2,5,2,3,L,L,N,0
LSubRet1,5092017,L,2,6,2,1,R,L, Y,1
LSubRet1,5092017,L,2,7,2,1,R,R,N,0
LSubRet1,5092017,L,2,8,2,3,L,R, Y,1
LSubRet1,6092017,L,3,1,5,4,L,L,N,0
LSubRet1,6092017,L,3,2,5,3,R,R,N,0
