location,start,choice,end,session,trial,animal,date,test,passed,mapping
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S1--04092017_CSubRet1_+maze_trial_1_1.set,10.2,13.3,16.54,1,1,CSubRet1,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S1--04092017_CSubRet1_+maze_trial_1_1.set,47.12,50.84,52.78,1,1,CSubRet1,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S2--04092017_CSubRet1_+maze_trial_1_2.set,8.5,22.3,23.64,1,2,CSubRet1,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S2--04092017_CSubRet1_+maze_trial_1_2.set,60.98,63.34,65.08,1,2,CSubRet1,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S3--04092017_CSubRet1_+maze_trial_1_3.set,23.52,25.54,26.92,1,3,CSubRet1,4092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S3--04092017_CSubRet1_+maze_trial_1_3.set,62.6,63.52,66.88,1,3,CSubRet1,4092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S4--04092017_CSubRet1_+maze_trial_1_4.set,9.22,11.46,13.28,1,4,CSubRet1,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S4--04092017_CSubRet1_+maze_trial_1_4.set,41.54,43,44.42,1,4,CSubRet1,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S5--04092017_CSubRet1_+maze_trial_1_5.set,9.9,15.9,17.82,1,5,CSubRet1,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S5--04092017_CSubRet1_+maze_trial_1_5.set,52,58.42,60.08,1,5,CSubRet1,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S6--04092017_CSubRet1_+maze_trial_1_6.set,21.28,28.96,32.12,1,6,CSubRet1,4092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S6--04092017_CSubRet1_+maze_trial_1_6.set,60.42,62.58,64.52,1,6,CSubRet1,4092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S7--04092017_CSubRet1_+maze_trial_1_7.set,11.1,13.98,21.82,1,7,CSubRet1,4092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S7--04092017_CSubRet1_+maze_trial_1_7.set,56.6,59.3,61.16,1,7,CSubRet1,4092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S8--04092017_CSubRet1_+maze_trial_1_8.set,22.48,27.7,31.1,1,8,CSubRet1,4092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--04092017_first trial--S8--04092017_CSubRet1_+maze_trial_1_8.set,67.22,70,71.44,1,8,CSubRet1,4092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S1--05092017_CSubRet1_+maze_trial_2_1.set,15.88,17.86,20.2,2,1,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S1--05092017_CSubRet1_+maze_trial_2_1.set,50.78,51.76,55.02,2,1,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S2--05092017_CSubRet1_+maze_trial_2_2.set,15.1,16.38,20.28,2,2,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S2--05092017_CSubRet1_+maze_trial_2_2.set,48.78,50.04,52.68,2,2,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S3--05092017_CSubRet1_+maze_trial_2_3.set,13.06,15.28,21.96,2,3,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S3--05092017_CSubRet1_+maze_trial_2_3.set,55.46,56.66,59.5,2,3,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S4--05092017_CSubRet1_+maze_trial_2_4.set,14.34,16.36,32.38,2,4,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S4--05092017_CSubRet1_+maze_trial_2_4.set,71.3,73.82,76.1,2,4,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S5--05092017_CSubRet1_+maze_trial_2_5.set,18.76,23.72,28.9,2,5,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S5--05092017_CSubRet1_+maze_trial_2_5.set,64.92,66.5,70.28,2,5,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S6--05092017_CSubRet1_+maze_trial_2_6.set,23.52,25.54,45.64,2,6,CSubRet1,5092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S6--05092017_CSubRet1_+maze_trial_2_6.set,80.44,81.1,85.94,2,6,CSubRet1,5092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S7--05092017_CSubRet1_+maze_trial_2_7.set,9.66,11.14,14.76,2,7,CSubRet1,5092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S7--05092017_CSubRet1_+maze_trial_2_7.set,46.32,48.06,49.82,2,7,CSubRet1,5092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S8--05092017_CSubRet1_+maze_trial_2_8.set,11.7,13.66,17.8,2,8,CSubRet1,5092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--05092017_2nd trial--S8--05092017_CSubRet1_+maze_trial_2_8.set,47.54,51.32,55.26,2,8,CSubRet1,5092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S1--06092017_CSubRet1_+maze_trial_3_1.set,21.22,27.42,29.08,3,1,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S1--06092017_CSubRet1_+maze_trial_3_1.set,67.3,124.62,128.42,3,1,CSubRet1,6092017,second,Y,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S2--06092017_CSubRet1_+maze_trial_3_2.set,21.16,30.28,32.24,3,2,CSubRet1,6092017,first,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S2--06092017_CSubRet1_+maze_trial_3_2.set,81.38,82.32,85.8,3,2,CSubRet1,6092017,second,N,CL-SR_1-3-no-cells.py
CSubRet1--CSubRet1_recording--+maze--06092017_3rd trial--S3--06092017_CSubRet1_+maze_trial_3_3.set,18.46,20.34,23.08,3,3,CSubRet1,6092017,first,Y,CL-SR_1-3-no-cells.py
